,LOCATION,Country,TIME,LT_RATE,Duration,Convexity,Total Return Index,1Y Nominal Return,5Y Nominal Return,20Y Nominal Return,CPI Index,1Y Inflation,5Y Inflation,20Y Inflation,1Y Real Return,5Y Real Return,20Y Real Return,Forward 1Y Nominal Return,Forward 5Y Nominal Return,Forward 20Y Nominal Return,Forward 1Y Real Return,Forward 5Y Real Return,Forward 20Y Real Return
0,AUS,Australia,1969-07-31,5.8,7.430332915062096,70.75436134775191,1.0,,,,8.822846,0.0326086727534253,0.0315517127258537,0.0429103682599807,,,,-0.015136108526414671,0.019001376872607834,0.09004462345349484,-0.0517357906989796,-0.0619017867074253,-0.0011567145209019358
1,AUS,Australia,1969-08-31,5.79,7.433871912363839,70.8055383730493,1.0055770745522616,,,,8.822846,0.0326086727534253,0.0307082430234044,0.0429103682599807,,,,-0.013589535909043882,0.01947510127080654,0.09152372784600482,-0.056620905065873695,-0.06362821696125953,-0.0001060702227431154
2,AUS,Australia,1969-09-30,5.81,7.42679647546435,70.70323020572256,1.0089367626333057,,,,8.822846,0.0326086727534253,0.029868894559667,0.0429103682599807,,,,-0.011245817878175579,0.020403247574560357,0.08994956026936518,-0.06068359618593522,-0.06491065769788495,-0.0018504245041576217
3,AUS,Australia,1969-10-31,5.83,7.419731260211286,70.6011053808191,1.0123259148392785,,,,8.853803666666666,0.0287769572400495,0.030590604636697,0.0426708112085405,,,,-0.00961005556666017,0.021328558552650367,0.09066989927638791,-0.05896506996706763,-0.06593481390955958,-0.001316488445399444
4,AUS,Australia,1969-11-30,5.85,7.412676248289466,70.49916351759602,1.0157447500852521,,,,8.884761333333334,0.024999980772322,0.0313102987391245,0.042434061861275,,,,-0.0037825784014380304,0.02225102544375357,0.09241870423677989,-0.05326357463398779,-0.06692986560629144,0.000160094995655502
5,AUS,Australia,1969-12-31,5.95,7.3775536002741084,69.99218536263814,1.0132383415013813,,,,8.915719,0.0212765786843605,0.0320279894932646,0.042200068751226,,,,0.005782473071928251,0.024370526681136706,0.09373773334980351,-0.04400870130897849,-0.06680368010999238,0.0012440384269531979
6,AUS,Australia,1970-01-31,5.95,7.3775536002741084,69.99218536263814,1.018262314944659,,,,8.946676333333333,0.0248226751317539,0.0319060951467211,0.0419687797715739,,,,0.003673645528536884,0.026257859991513754,0.09434849885827257,-0.045849688303132186,-0.06646102982692259,0.0017101061504549708
7,AUS,Australia,1970-02-28,5.96,7.374055252408692,69.94173677948076,1.0225606827609157,,,,8.977633666666666,0.0283687715791471,0.031785126891153,0.0417401479708825,,,,0.005159890408946932,0.02571782003634504,0.09325765190678159,-0.04427416591308819,-0.06830682165720114,0.0006194666845773522
8,AUS,Australia,1970-03-31,6.05,7.342683310023546,69.48972464553108,1.0209106737571256,,,,9.008591,0.0319148680265406,0.0316650741928257,0.0415141256607127,,,,0.013244217491021892,0.027668619217686707,0.0935456478554757,-0.03642457999712423,-0.06787102259260724,0.0007917096893614861
9,AUS,Australia,1970-04-30,6.94,7.043102880332277,65.20954730676459,0.9647000213307518,,,,9.039548,0.0318020959413907,0.0315459190697933,0.0412906644122788,,,,0.07763740905604877,0.041015298290155044,0.09629185184053557,0.018349919892704403,-0.0555152600417379,0.0033600712502077634
10,AUS,Australia,1970-05-31,6.85,7.072541020716832,65.62718538716776,0.9764454363185675,,,,9.070505,0.031690118016731,0.0314276589655089,0.0410697207925869,,,,0.07301758530749836,0.040137846006521594,0.0970353705278697,0.007673538984261263,-0.056062981456607486,0.004095375597100492
11,AUS,Australia,1970-06-30,6.86,7.069260825827433,65.58061704660338,0.9813293577832046,,,,9.101462,0.0315789258930734,0.0313102838150269,0.0408512505408431,,,,0.07298984271702635,0.040740515441606506,0.09769509292492273,0.0014571278518613617,-0.055268842645836314,0.004753742130829686
12,AUS,Australia,1970-07-31,6.89,7.059434197272729,65.44115860969403,0.9848638914735853,-0.015136108526414671,,,9.163377,0.0385965027611272,0.0318919666874546,0.0404215640997067,-0.0517357906989796,,,0.07674074458695457,0.035344681994635474,0.09881235925756604,0.005410893814034479,-0.06240338149228297,0.005681955088876256
13,AUS,Australia,1970-08-31,6.87,7.06598295832675,65.53408983160423,0.9919117487883223,-0.013589535909043882,,,9.225292,0.0456140796291808,0.0324677761409837,0.0400012660863491,-0.056620905065873695,,,0.07440041573677414,0.03558659012235976,0.09806998946183754,0.0036718755922136026,-0.06436034891462195,0.004909563189629207
14,AUS,Australia,1970-09-30,6.87,7.06598295832675,65.53408983160423,0.9975904435501355,-0.011245817878175579,,,9.287207,0.0526316564972346,0.0330378028053164,0.0395900388755889,-0.06068359618593522,,,0.07739357449212925,0.03612318953321214,0.09796881267406388,0.00690993235275883,-0.06599430357176272,0.004725452468669289
15,AUS,Australia,1970-10-31,6.88,7.062707416159549,65.48760370000628,1.002597406546103,-0.00961005556666017,,,9.318164333333334,0.0524475902277934,0.0329167154006331,0.0390152516922452,-0.05896506996706763,,,0.09356889145752945,0.036805659789966194,0.09913086768541968,0.022249333778142644,-0.06660151849296425,0.005984612837066194
16,AUS,Australia,1970-11-30,6.83,7.079108400893214,65.72044561389157,1.0119026159322055,-0.0037825784014380304,,,9.349121666666669,0.052264806662974,0.0327965141649355,0.0384508067827522,-0.05326357463398779,,,0.1052672579518601,0.03661086334723751,0.10268893958481207,0.03340803378785551,-0.06798155090923808,0.00943707684261419
17,AUS,Australia,1970-12-31,6.81,7.085685115339916,65.8138708500612,1.0190973649265582,0.005782473071928251,,,9.380079,0.0520832924411369,0.0326771893863273,0.0378963951264146,-0.04400870130897849,,,0.12194605181644214,0.036862549961256486,0.10335058234260042,0.04922769080677747,-0.06894308085414214,0.010238306169235711
18,AUS,Australia,1971-01-31,6.85,7.072541020716832,65.62718538716776,1.0220030497448331,0.003673645528536884,,,9.411036333333334,0.0519030735771561,0.0333579259169372,0.0369977428556027,-0.045849688303132186,,,0.12530820829568756,0.037740982767959785,0.10549051493891115,0.05259607106838282,-0.068970733126822,0.012335779478970244
19,AUS,Australia,1971-02-28,6.85,7.072541020716832,65.62718538716776,1.02783698382046,0.005159890408946932,,,9.441993666666669,0.0517240976009232,0.0340368733874969,0.0361208890504025,-0.04427416591308819,,,0.14989584487750074,0.038538745420451104,0.10567247156631066,0.075822602298796,-0.06906248636073054,0.012640043984041505
